user_id,original_image,face_id,age,gender,x,y,dx,dy,tilt_ang,fiducial_yaw_angle,fiducial_score
113705978@N06,11838166686_9726cfa5c0_o.jpg,362,"(60, 100)",f,674,382,1077,1077,0,0,151
29671106@N00,9121130344_059f7807f2_o.jpg,189,"(38, 43)",f,631,670,465,466,-95,0,58
62501130@N02,11309267325_8bf783cb88_o.jpg,97,"(0, 2)",f,256,325,1632,1632,20,45,5
10044155@N06,11345714956_886896e6c1_o.jpg,145,"(38, 43)",m,745,1166,268,268,-10,-15,62
29671106@N00,8084101274_af9a4118f9_o.jpg,188,"(38, 43)",m,0,230,550,641,-20,-15,29
20254529@N04,9934610055_2749028eca_o.jpg,66,"(38, 43)",m,396,0,449,401,-20,30,25
68825596@N05,11593979413_402a598dc5_o.jpg,290,"(15, 20)",f,210,0,869,753,-70,0,10
68825596@N05,11593692475_4c3c763d2f_o.jpg,290,"(15, 20)",f,895,1208,548,548,-95,0,44
113528649@N08,11760897926_71365cf9a4_o.jpg,333,"(8, 12)",f,1161,1282,600,600,190,0,109
62501130@N02,11285999083_956ac250d6_o.jpg,123,"(48, 53)",m,841,635,1058,1059,10,0,49
68825596@N05,11594467636_6387506bec_o.jpg,290,"(15, 20)",f,0,282,823,678,-105,0,35
29671106@N00,11192924936_21bc16711d_o.jpg,197,"(8, 12)",m,768,1832,293,294,180,15,108
20254529@N04,9401874841_2a14ba48ae_o.jpg,14,"(4, 6)",f,1171,457,985,985,5,0,81
30601258@N03,11097073494_5277be93d5_o.jpg,2,"(25, 32)",m,64,93,728,729,-85,0,93
7648211@N03,9538411310_2aa75cd049_o.jpg,458,"(25, 32)",m,1383,350,567,568,20,0,139
37303189@N08,10384134405_6877939fa3_o.jpg,84,"(0, 2)",m,0,75,905,885,-90,0,61
29671106@N00,11018078265_0a27024c47_o.jpg,188,"(38, 43)",m,761,82,765,765,-5,-45,86
20254529@N04,9405998270_8db85a832d_o.jpg,14,"(4, 6)",f,1171,1082,274,274,-95,0,21
37303189@N08,8771198199_d768934e1e_o.jpg,84,"(0, 2)",m,127,1063,1294,1294,-100,0,35
20254529@N04,9931576545_b44222ace0_o.jpg,18,"(25, 32)",m,519,251,714,714,5,0,59
20254529@N04,9405965828_fe91b7da92_o.jpg,42,"(48, 53)",f,575,1233,682,682,-85,-45,14
113804525@N05,11846294843_4645dcbecc_o.jpg,324,"(60, 100)",m,932,1456,491,491,-105,0,104
10044155@N06,9345543387_b7ca38c8be_o.jpg,184,"(48, 53)",m,1809,556,192,191,0,30,57
20254529@N04,11533745035_05d4cb5eda_o.jpg,18,"(25, 32)",m,1332,626,382,382,0,0,104
20272804@N04,9827103763_41ae4c2330_o.jpg,339,"(38, 43)",f,504,595,1043,1043,-10,0,14
30601258@N03,10437970754_1e6c88559a_o.jpg,2,"(25, 32)",m,57,0,1140,960,-90,0,77
30601258@N03,10166320964_524ae99114_o.jpg,2,"(25, 32)",m,1000,959,765,765,-110,30,65
9017386@N06,10770601955_e7ecc9ac58_o.jpg,216,"(48, 53)",m,895,573,287,287,0,0,63
34158582@N02,9619536048_5e7f79330d_o.jpg,404,"(38, 43)",m,1016,1078,555,555,-90,0,18
31040257@N06,9726859255_f539379bd7_o.jpg,361,"(38, 43)",m,825,1624,491,490,-10,0,74
30601258@N03,11358584174_b341827436_o.jpg,2,"(25, 32)",m,666,1002,675,676,-85,0,68
29671106@N00,9202459878_43f98f7f95_o.jpg,187,"(8, 12)",f,494,248,1326,1326,-10,0,84
20254529@N04,9405985186_40e3c859a5_o.jpg,14,"(4, 6)",f,0,261,653,656,-20,0,134
10044155@N06,11345487344_e716a9aef8_o.jpg,140,"(38, 43)",m,1333,282,842,841,-5,30,153
30601258@N03,10795564064_15ee94df4e_o.jpg,2,"(25, 32)",m,1120,393,739,740,10,0,69
10406201@N05,10265991733_ccb67cd6af_o.jpg,273,"(25, 32)",f,1751,592,242,243,5,0,80
30601258@N03,11431646254_d1386c8d4a_o.jpg,2,"(25, 32)",m,295,27,744,744,-90,0,44
30601258@N03,11431599725_3f869b6c03_o.jpg,2,"(25, 32)",m,222,358,640,602,-95,0,37
62501130@N02,11399457614_a22e6d15a9_o.jpg,97,"(0, 2)",f,0,387,656,804,-10,0,32
30601258@N03,10998012786_6b37e24eb2_o.jpg,5,"(25, 32)",f,473,102,512,513,10,0,97
20254529@N04,9405920480_f0d7ec6376_o.jpg,17,"(4, 6)",f,326,100,300,299,-5,0,70
62501130@N02,11285948334_ab71517fee_o.jpg,99,"(25, 32)",m,140,29,820,1045,15,30,14
10406201@N05,10266538274_76e220ee93_o.jpg,264,"(38, 43)",m,1152,1169,287,287,15,0,58
39411334@N02,11043220715_3492685485_o.jpg,416,"(25, 32)",m,270,702,459,459,-15,0,20
63153065@N07,9449082763_7a59387216_o.jpg,233,"(25, 32)",f,921,1319,280,281,10,-30,5
20254529@N04,9981723524_af35397e97_o.jpg,36,"(4, 6)",f,844,374,421,421,-20,30,6
30601258@N03,10943582594_24e6a78e2e_o.jpg,11,"(25, 32)",m,1574,854,816,816,190,0,72
30601258@N03,10438013145_6beb1af2bd_o.jpg,1,"(25, 32)",f,153,694,867,867,-75,0,107
29671106@N00,9474604915_e3aceb958b_o.jpg,189,"(38, 43)",f,983,0,1740,1644,-5,30,77
62501130@N02,11285881615_34bdf1ef40_o.jpg,99,"(25, 32)",m,52,201,716,716,10,0,104
20254529@N04,9401719049_9326ea1722_o.jpg,14,"(4, 6)",f,1778,854,568,567,180,0,102
63153065@N07,9427777999_13b08a58a2_o.jpg,235,"(25, 32)",f,2097,1321,542,542,180,15,7
30601258@N03,11140998045_4bbeb0d27e_o.jpg,2,"(25, 32)",m,580,613,835,835,-85,0,29
29671106@N00,11192906446_8eaf3d55c0_o.jpg,195,"(4, 6)",f,2451,1496,306,306,195,0,96
29671106@N00,9199716163_a55883bd9b_o.jpg,188,"(38, 43)",m,1684,1807,306,306,170,45,24
63153065@N07,9499241968_8985e9f8aa_o.jpg,257,"(25, 32)",m,291,1405,599,599,-95,45,74
29671106@N00,11193006113_56900fc380_o.jpg,187,"(8, 12)",f,1477,1622,300,300,175,0,105
113804525@N05,11847520264_751dc364cb_o.jpg,323,"(25, 32)",m,2059,707,274,274,0,0,151
20254529@N04,9405720818_a928f32f04_o.jpg,14,"(4, 6)",f,426,533,483,483,20,-30,65
30601258@N03,9159856147_f7812a8085_o.jpg,2,"(25, 32)",m,223,85,700,701,-95,0,80
30601258@N03,9506997231_eb7fd73352_o.jpg,4,"(38, 43)",f,1059,664,1294,1294,-90,0,75
113605644@N05,11817301845_0219448693_o.jpg,417,"(0, 2)",m,25,0,1104,960,-100,0,143
30601258@N03,10424853086_473f9de6d1_o.jpg,7,"(25, 32)",f,1107,243,1020,1020,0,30,105
62501130@N02,11298560226_9eb3c5ea5c_o.jpg,98,"(48, 53)",f,906,859,383,382,0,-45,21
62501130@N02,11298626443_c84208bce8_o.jpg,97,"(0, 2)",f,1890,846,452,452,10,0,20
10406201@N05,11160805544_1b628d5926_o.jpg,268,"(48, 53)",f,1058,946,440,440,5,0,178
30601258@N03,10190308156_5c748ab2da_o.jpg,5,"(25, 32)",f,474,1893,485,484,-115,30,55
62501130@N02,11399468515_a33c8782ff_o.jpg,97,"(0, 2)",f,530,186,416,416,0,-45,61
20254529@N04,9931484274_52c1188826_o.jpg,36,"(4, 6)",f,1483,1067,345,345,-15,45,81
30601258@N03,11645266316_5c14b52e4f_o.jpg,2,"(25, 32)",m,115,4,660,660,-70,30,5
30601258@N03,11727319223_e03a5f84ab_o.jpg,3,"(25, 32)",m,417,0,1524,1466,-85,-15,78
20254529@N04,9931478706_1b65885ed6_o.jpg,17,"(4, 6)",f,1555,527,644,644,-10,0,73
30601258@N03,10438003975_c480af4852_o.jpg,2,"(25, 32)",m,0,0,940,948,-80,0,93
30601258@N03,11141052345_12bb2fbd9d_o.jpg,5,"(25, 32)",f,1045,465,1301,1300,-5,15,166
10406201@N05,9196903568_02f9e5689a_o.jpg,278,"(25, 32)",f,130,30,636,636,-5,15,80
10044155@N06,10745058173_97ba579984_o.jpg,181,"(38, 43)",m,578,0,192,154,0,30,7
30601258@N03,10571000386_90e4070c7c_o.jpg,2,"(25, 32)",m,596,156,684,688,-5,0,28
113804525@N05,11847520264_751dc364cb_o.jpg,321,3,m,2942,1013,280,281,0,0,86
31040257@N06,9729634506_7f6aec9ede_o.jpg,359,"(25, 32)",f,0,534,675,712,5,0,36
29671106@N00,9058761563_8ba72a567a_o.jpg,188,"(38, 43)",m,1421,341,606,605,0,0,95
63153065@N07,9488012547_9159d4c8ab_o.jpg,239,"(25, 32)",f,669,1136,848,848,165,0,62
30601258@N03,10165741325_c090463e0c_o.jpg,1,"(25, 32)",f,1179,489,402,401,0,0,111
30601258@N03,11137785775_3225dd75a4_o.jpg,2,"(25, 32)",m,199,191,637,636,-90,0,78
113605644@N05,11825192635_2125623c0c_o.jpg,418,36,f,69,0,1044,960,-100,0,20
10354155@N05,11937896894_147ae7c049_o.jpg,424,"(25, 32)",f,1404,1024,650,651,-75,30,77
20254529@N04,9401937985_98b3e07467_o.jpg,15,"(60, 100)",f,804,777,209,209,-5,0,52
30601258@N03,11625270986_e926cf12e1_o.jpg,2,"(25, 32)",m,124,114,777,776,-100,30,55
20254529@N04,9931484274_52c1188826_o.jpg,42,"(48, 53)",f,890,623,313,312,-10,30,79
29671106@N00,9217967302_a1eab407f8_o.jpg,188,"(38, 43)",m,341,1109,650,650,-70,0,43
113804525@N05,11846014335_43a7cbba4b_o.jpg,321,3,m,1096,682,363,363,-80,0,49
10113099@N03,12038739325_cacecae75e_o.jpg,448,"(8, 12)",f,234,1734,765,765,5,-30,67
62501130@N02,11286001643_e92647752f_o.jpg,100,"(25, 32)",f,1026,1015,657,656,0,0,64
34158582@N02,8861535085_9b04ba15d2_o.jpg,401,"(0, 2)",f,817,1093,746,746,-95,0,60
62501130@N02,11310076426_0ac94c2a19_o.jpg,97,"(0, 2)",f,194,423,766,857,-10,0,161
29671106@N00,11192906446_8eaf3d55c0_o.jpg,192,"(8, 12)",f,1941,1461,338,338,185,15,21
37303189@N08,9115652665_3667a8677d_o.jpg,84,"(0, 2)",m,1359,927,567,567,-95,15,53
20254529@N04,9405938138_830d32c93d_o.jpg,53,"(25, 32)",f,1663,823,345,345,5,0,105
30601258@N03,10998228263_6581ee96d2_o.jpg,2,"(25, 32)",m,1437,471,580,580,-10,0,103
62501130@N02,11305710565_dddd62dbc1_o.jpg,97,"(0, 2)",f,259,847,268,268,-5,-30,8
10044155@N06,11345559683_64f628a9ef_o.jpg,134,"(48, 53)",m,219,855,351,351,0,45,12
10044155@N06,11345509685_6e2b1dfac7_o.jpg,135,"(48, 53)",m,320,546,640,640,185,15,34
20254529@N04,9931609413_867cc4d506_o.jpg,14,"(4, 6)",f,882,564,804,803,-25,0,15
20254529@N04,9406012268_d049430eb0_o.jpg,14,"(4, 6)",f,88,917,1250,1250,15,0,95
29671106@N00,8137378967_36a593d7b3_o.jpg,199,"(38, 43)",f,1183,480,232,233,10,0,109
20254529@N04,9981870036_a1198b3d04_o.jpg,14,"(4, 6)",f,1216,449,1332,1332,0,30,91
9017386@N06,10009111604_04818aa8f1_o.jpg,205,"(4, 6)",m,512,441,316,316,0,0,52
10406201@N05,8294045896_4669f74b5f_o.jpg,266,"(38, 43)",m,357,1383,784,784,-5,0,163
30601258@N03,10189334335_366c6e040a_o.jpg,2,"(25, 32)",m,1412,1063,618,618,195,0,68
37303189@N08,9115640309_ca69bd33d4_o.jpg,84,"(0, 2)",m,487,1260,529,529,-95,0,106
37303189@N08,11170155956_c8087f2c7a_o.jpg,89,"(25, 32)",m,0,902,1335,1453,-85,-45,39
30601258@N03,9350643138_6ce5e8597c_o.jpg,2,"(25, 32)",m,1357,1145,383,383,-90,0,99
62501130@N02,11399323725_69ebef29b7_o.jpg,100,"(25, 32)",f,551,1922,504,503,0,0,17
16166376@N00,11117814354_5e91fd2d77_o.jpg,354,"(25, 32)",m,1973,610,286,287,5,0,44
63153065@N07,9451863796_91bdbca4b9_o.jpg,253,"(60, 100)",f,2253,765,268,267,0,30,8
20254529@N04,9403229867_b3f35bff55_o.jpg,14,"(4, 6)",f,427,328,300,299,-5,0,20
20254529@N04,9402954629_9b81a4ee85_o.jpg,13,"(25, 32)",f,373,237,560,560,-70,0,48
62501130@N02,11305722325_f9d71c164e_o.jpg,126,"(8, 12)",f,2489,2038,242,242,-25,0,50
29671106@N00,11192935686_ced2c71871_o.jpg,191,"(8, 12)",f,478,1638,382,382,185,0,78
63153065@N07,9451863796_91bdbca4b9_o.jpg,240,"(25, 32)",f,833,653,261,261,0,0,125
30601258@N03,10204685346_22121422f4_o.jpg,2,"(25, 32)",m,1020,570,1224,1224,-70,30,76
30601258@N03,11341720085_2bb1f397b9_o.jpg,2,"(25, 32)",m,147,0,888,881,-110,30,33
39411334@N02,11043781116_63f39ba76b_o.jpg,413,"(25, 32)",f,1120,686,1328,1339,0,-45,22
31040257@N06,9726807287_a2981c0a9d_o.jpg,359,"(25, 32)",f,1155,760,637,637,5,30,80
10406201@N05,10017614003_067da22c0a_o.jpg,265,"(8, 12)",m,969,750,1090,1090,10,0,93
37303189@N08,11423673613_8880f3c5a9_o.jpg,89,"(25, 32)",m,591,1104,331,331,-85,0,65
20254529@N04,9403161019_bbe007afb1_o.jpg,18,"(25, 32)",m,733,131,512,513,-25,0,165
37303189@N08,9117694818_71910aba8e_o.jpg,84,"(0, 2)",m,612,686,618,619,-85,0,102
20254529@N04,9981914593_07a9bf80f7_o.jpg,14,"(4, 6)",f,289,29,991,931,-5,0,65
7648211@N03,10198678764_69347077af_o.jpg,459,"(25, 32)",f,924,964,580,580,5,0,143
20254529@N04,9405742452_ac53f34a4f_o.jpg,14,"(4, 6)",f,1045,709,714,714,-5,-30,99
30601258@N03,10998036455_361fd5bd22_o.jpg,5,"(25, 32)",f,736,1074,618,618,-110,45,43
62501130@N02,11298516334_fffb9e9eaf_o.jpg,97,"(0, 2)",f,366,1278,1090,1090,0,-30,80
10044155@N06,11345711336_7a70c81d07_o.jpg,146,"(48, 53)",m,823,1050,268,268,-15,0,127
30601258@N03,11312228296_2048ec3603_o.jpg,2,"(25, 32)",m,87,87,684,684,-90,0,55
29671106@N00,8084102228_616f5f8934_o.jpg,189,"(38, 43)",f,133,723,1014,1014,10,-30,52
30601258@N03,9988153884_e7e144a3d5_o.jpg,3,"(25, 32)",m,319,201,544,544,-100,0,125
20254529@N04,8645702959_e37b6fb63a_o.jpg,14,"(4, 6)",f,87,340,516,517,20,0,87
20254529@N04,9981741125_90b35e93af_o.jpg,34,"(8, 12)",m,443,992,267,268,-10,0,105
9017386@N06,8641998183_3ddbefe4cb_o.jpg,205,"(4, 6)",m,615,465,420,421,-10,0,153
20254529@N04,9403257151_9ae2b10ab4_o.jpg,13,"(25, 32)",f,122,670,1377,1377,-5,0,66
62501130@N02,11399553703_55d4853757_o.jpg,99,"(25, 32)",m,334,216,626,804,5,0,97
30601258@N03,11232048396_53318c01c7_o.jpg,2,"(25, 32)",m,1278,839,1651,1609,185,-15,28
10044155@N06,11345506124_c397d8c402_o.jpg,140,"(38, 43)",m,1797,543,268,268,5,0,55
37303189@N08,8668655555_53cbe3b648_o.jpg,84,"(0, 2)",m,857,698,1205,1204,-95,0,60
113804525@N05,11847372253_57d2035e4d_o.jpg,323,"(25, 32)",m,1399,556,408,408,-5,15,127
37303189@N08,11421867756_57069b45b4_o.jpg,89,"(25, 32)",m,296,1110,293,294,-100,0,103
113804525@N05,11847888786_32fbd7dfc4_o.jpg,327,"(25, 32)",m,505,462,618,618,0,0,48
37303189@N08,9115613991_28531c2705_o.jpg,84,"(0, 2)",m,621,1074,650,650,-105,0,21
10406201@N05,11160743665_9ed3bbdb03_o.jpg,264,"(38, 43)",m,1711,447,523,523,-5,0,141
16166376@N00,8773631953_4113fa4fb1_o.jpg,356,"(4, 6)",f,636,297,148,148,-90,0,70
29671106@N00,11192935686_ced2c71871_o.jpg,197,"(8, 12)",m,811,1831,306,306,180,-15,133
37303189@N08,10631380725_490e665b37_o.jpg,84,"(0, 2)",m,755,922,841,842,-95,0,94
113605644@N05,11826679944_d1bee577d9_o.jpg,417,"(0, 2)",m,396,350,296,296,-95,0,130
30601258@N03,10343011254_8f847beb9f_o.jpg,5,"(25, 32)",f,257,249,736,711,-95,0,32
29671106@N00,11192868835_b6fa8579f9_o.jpg,192,"(8, 12)",f,1859,1601,396,395,175,15,60
10044155@N06,11345661333_52d0ac2914_o.jpg,169,"(48, 53)",m,0,795,658,733,0,0,43
45666944@N00,11842748965_773994f026_o.jpg,410,"(4, 6)",m,1652,686,287,287,-15,0,97
62501130@N02,11285954564_8298b92268_o.jpg,109,"(4, 6)",f,1831,905,318,319,-10,30,61
113804525@N05,11846323223_e779c607ae_o.jpg,330,"(25, 32)",f,1131,1152,242,242,-5,0,60
30601258@N03,11097521786_f2dcd7c4ed_o.jpg,2,"(25, 32)",m,76,12,776,776,-85,0,45
62501130@N02,11399439296_497ecb4b2a_o.jpg,99,"(25, 32)",m,196,217,764,933,15,0,78
62501130@N02,11399317516_d463150f18_o.jpg,100,"(25, 32)",f,742,1185,274,274,0,-15,52
16166376@N00,9588086798_248ffa44bb_o.jpg,355,"(25, 32)",f,863,229,663,663,180,45,84
37303189@N08,9115624535_56d264a424_o.jpg,84,"(0, 2)",m,919,1129,650,651,-95,-15,71
113804525@N05,11846471864_f13866bfda_o.jpg,319,35,m,1523,1050,262,261,-5,0,116
20254529@N04,9404672046_ae4d4d0f9a_o.jpg,16,"(60, 100)",f,523,358,279,279,0,0,68
113528649@N08,11776974585_b455d8256f_o.jpg,333,"(8, 12)",f,1632,729,344,345,20,0,65
9017386@N06,10770880025_bc9af5c520_o.jpg,218,"(25, 32)",f,661,618,268,268,5,0,81
113804525@N05,11847097505_c9b61873be_o.jpg,328,"(60, 100)",m,768,785,325,325,0,0,60
30601258@N03,9505485134_362d1f7860_o.jpg,5,"(25, 32)",f,961,1000,1160,1161,195,30,140
62501130@N02,11305705375_1b3263c3b3_o.jpg,97,"(0, 2)",f,1681,871,280,281,0,0,28
30601258@N03,11118690536_2b211b407a_o.jpg,4,"(38, 43)",f,460,728,1288,1288,-80,-30,47
7648211@N03,10198834473_fc05c6c237_o.jpg,457,"(48, 53)",f,205,266,708,707,5,0,120
10354155@N05,11937754183_c6b9c1789b_o.jpg,423,"(38, 43)",f,1789,490,243,243,-25,0,127
68825596@N05,11593643105_458f084c6f_o.jpg,291,"(15, 20)",m,285,452,1135,1135,-95,30,110
30601258@N03,9350582804_45768d8d49_o.jpg,2,"(25, 32)",m,2027,637,650,650,-15,30,90
30601258@N03,10204490395_5b750a60b8_o.jpg,2,"(25, 32)",m,262,32,808,809,-90,0,66
30601258@N03,10346656904_00afcc4684_o.jpg,2,"(25, 32)",m,823,1027,1269,1269,165,30,136
20254529@N04,9403244149_3d84a7b93b_o.jpg,18,"(25, 32)",m,933,758,421,421,-100,0,47
62501130@N02,11399456634_219b7ab9b4_o.jpg,97,"(0, 2)",f,0,447,438,464,0,0,103
30601258@N03,10152791085_cf5f5e6d0e_o.jpg,1,"(25, 32)",f,841,1255,784,784,175,0,78
34158582@N02,9619540694_6b04d2493f_o.jpg,404,"(38, 43)",m,1300,1668,408,408,-90,0,12
62501130@N02,11305785424_bc7138da40_o.jpg,98,"(48, 53)",f,1196,1318,549,548,10,0,39
20254529@N04,9981732215_12862f9950_o.jpg,55,"(15, 20)",f,2310,859,275,274,5,0,50
62501130@N02,11285869355_e83f4132da_o.jpg,99,"(25, 32)",m,107,91,853,976,10,0,99
10044155@N06,11345804833_df3fc70d54_o.jpg,139,"(38, 43)",m,1072,1035,242,243,5,-15,23
30601258@N03,11518770375_202acaf0c0_o.jpg,2,"(25, 32)",m,1179,615,790,790,5,0,73
30601258@N03,11551510215_3203d081c4_o.jpg,10,"(25, 32)",m,506,854,1008,1007,20,0,148
16166376@N00,11117754716_fc33fbfc0f_o.jpg,355,"(25, 32)",f,1668,992,803,804,-15,30,132
62501130@N02,11298526465_0086f62e40_o.jpg,97,"(0, 2)",f,1276,431,816,816,10,30,57
29671106@N00,11192889285_5e23fd3dd4_o.jpg,193,"(4, 6)",m,2701,1184,312,312,165,0,57
68825596@N05,11593773063_6fb20cbd82_o.jpg,313,"(38, 43)",m,954,1096,395,395,-85,0,51
10406201@N05,8580994948_e77af59516_o.jpg,266,"(38, 43)",m,555,17,725,824,0,0,71
20254529@N04,9401932335_331a27de90_o.jpg,14,"(4, 6)",f,710,404,420,420,-90,-30,37
30601258@N03,9502690171_fa4455d949_o.jpg,7,"(25, 32)",f,889,957,1211,1212,170,15,89
20254529@N04,9981659504_037c7ebe70_o.jpg,51,"(38, 43)",m,1149,788,108,108,190,30,44
10044155@N06,10744918304_566b1e19fe_o.jpg,151,"(48, 53)",m,15,456,512,512,-5,0,87
9017386@N06,11094475056_964d94e128_o.jpg,205,"(4, 6)",m,0,70,1107,1287,-5,0,36
37303189@N08,8915748061_cdd6ce93b1_o.jpg,84,"(0, 2)",m,1078,766,593,593,-85,0,24
30601258@N03,11438227246_ca5179612c_o.jpg,1,"(25, 32)",f,388,557,867,867,-105,30,125
113528649@N08,11777566553_94a6708491_o.jpg,332,"(38, 43)",f,1072,1327,465,465,-75,0,114
30601258@N03,10518106303_1d9f3333bb_o.jpg,1,"(25, 32)",f,825,1214,708,708,175,30,139
20254529@N04,9404656256_e0ce76285b_o.jpg,22,"(60, 100)",m,1203,565,484,485,20,15,38
113605644@N05,11817650943_77a94457d5_o.jpg,417,"(0, 2)",m,0,0,1278,960,-100,0,89
20254529@N04,9981741125_90b35e93af_o.jpg,33,"(48, 53)",f,1899,812,274,274,5,0,69
37303189@N08,11924006695_483ccabc51_o.jpg,84,"(0, 2)",m,763,272,551,552,0,0,83
20254529@N04,9405946154_81b96e6d8c_o.jpg,14,"(4, 6)",f,617,385,340,340,-95,0,92
10044155@N06,11345738184_71774bb21a_o.jpg,132,"(25, 32)",f,1244,666,274,274,0,15,130
9017386@N06,10770726424_3e8a5d9acb_o.jpg,216,"(48, 53)",m,981,562,274,274,-5,0,53
45666944@N00,11843139064_33f759182a_o.jpg,408,"(38, 43)",m,803,318,899,899,-10,0,13
30601258@N03,9347747777_863b82f4ea_o.jpg,9,"(25, 32)",m,215,490,1275,1275,15,-15,81
10354155@N05,11938342046_1df1117e6f_o.jpg,423,"(38, 43)",f,1831,427,242,242,0,-30,79
62501130@N02,11298548763_a612851f53_o.jpg,97,"(0, 2)",f,74,292,853,852,20,0,97
30601258@N03,9159865727_20921d0809_o.jpg,2,"(25, 32)",m,22,0,960,938,-85,0,82
7648211@N03,11561373293_d880e48730_o.jpg,458,"(25, 32)",m,1343,400,491,490,20,0,127
30601258@N03,10823032145_444fdf6b30_o.jpg,2,"(25, 32)",m,123,205,664,665,-90,0,127
29671106@N00,9058764529_a137a18f90_o.jpg,189,"(38, 43)",f,1477,607,969,969,5,0,55
30601258@N03,11431601965_2af9197d38_o.jpg,2,"(25, 32)",m,1353,594,1275,1275,195,0,69
62501130@N02,11305709146_865f06cd8e_o.jpg,100,"(25, 32)",f,1225,790,242,242,-5,15,5
20254529@N04,11533745035_05d4cb5eda_o.jpg,14,"(4, 6)",f,1563,723,242,242,0,30,55
